state_id,store_id,cat_id,dept_id,item_id,base_price,sell_price,price_diff,price_discount,base_demand,demand_change,demand_percent
CA,CA_1,FOODS,FOODS_1,FOODS_1_002,8.88,7.88,-1.0000000000000009,11.26,6.176,-0.7869999999999999,-12.74
CA,CA_1,FOODS,FOODS_1,FOODS_1_005,3.28,2.94,-0.33999999999999986,10.37,18.701,-9.667,-51.69
CA,CA_1,FOODS,FOODS_1,FOODS_1_006,2.24,1.97,-0.27000000000000024,12.05,7.984,9.016,112.93
CA,CA_1,FOODS,FOODS_1,FOODS_1_011,2.48,2.28,-0.20000000000000018,8.06,2.389,-0.6109999999999998,-25.58
CA,CA_1,FOODS,FOODS_1,FOODS_1_013,1.48,1.25,-0.22999999999999998,15.54,8.419,4.5809999999999995,54.41
CA,CA_1,FOODS,FOODS_1,FOODS_1_013,1.48,1.44,-0.040000000000000036,2.7,8.419,5.0809999999999995,60.35
CA,CA_1,FOODS,FOODS_1,FOODS_1_015,2.97,2.78,-0.1900000000000004,6.4,4.07,-1.2860000000000005,-31.6
CA,CA_1,FOODS,FOODS_1,FOODS_1_015,2.97,2.48,-0.4900000000000002,16.5,4.07,-0.07000000000000028,-1.72
CA,CA_1,FOODS,FOODS_1,FOODS_1_016,1.98,1.96,-0.020000000000000018,1.01,9.312,-1.7239999999999993,-18.51
CA,CA_1,FOODS,FOODS_1,FOODS_1_018,1.0,0.98,-0.020000000000000018,2.0,33.789,16.994999999999997,50.3
CA,CA_1,FOODS,FOODS_1,FOODS_1_020,2.68,2.5,-0.18000000000000016,6.72,7.0,-2.077,-29.67
CA,CA_1,FOODS,FOODS_1,FOODS_1_024,4.74,3.97,-0.77,16.24,8.372,6.443,76.96
CA,CA_1,FOODS,FOODS_1,FOODS_1_026,6.98,6.38,-0.6000000000000005,8.6,0.933,2.4959999999999996,267.52
CA,CA_1,FOODS,FOODS_1,FOODS_1_026,6.98,6.78,-0.20000000000000018,2.87,0.933,2.8529999999999998,305.79
CA,CA_1,FOODS,FOODS_1,FOODS_1_029,3.94,3.18,-0.7599999999999998,19.29,1.804,1.3389999999999997,74.22
CA,CA_1,FOODS,FOODS_1,FOODS_1_030,2.97,2.78,-0.1900000000000004,6.4,0.724,2.8019999999999996,387.02
CA,CA_1,FOODS,FOODS_1,FOODS_1_030,2.97,2.48,-0.4900000000000002,16.5,0.724,2.0759999999999996,286.74
